"product_name","pnns_groups_1","energy_100g","fat_100g","carbohydrates_100g","sugars_100g","proteins_100g","salt_100g","nutrition.score.fr_100g","kcal","nutriscore"
"Sugar Free Cloudy Lemonade","Beverages",13,0.1,0.1,0.1,0.1,0.1,2,3.09523809523809,"B"
"Cream Crackers","Salty snacks",1850,14.8,67,1.1,9.5,1.1,12,440.47619047619,"D"
"Custard creams","Sugary snacks",2037,20.8,68.6,28.4,5,0.450000000000001,21,485,"E"
"Noodle Soup","Cereals and potatoes",1756,13.3,65,2.5,8.3,4.064,20,418.095238095238,"E"
"All natural Yellow Mustard","Fat and sauces",313,4.2,5.6,0.1,3.7,3.95,8,74.5238095238095,"C"
"Perrier","Beverages",0,0,0,0,0,0,8.36059300489711,0,"C"
"Ham & Mushroom Tagliatelle","Composite foods",667,6.7,16.7,1.8,7.5,0.75,1,158.809523809524,"B"
"Special K nature","Cereals and potatoes",1588,1.5,79,17,9,1,6,378.095238095238,"C"
"Chocolate Chip","Sugary snacks",2090,23.2,67.9,32.1,5.36,0.907,19,497.619047619048,"E"
"Noix de cajou grillées au miel","Salty snacks",2530,45.1,28.8,15.2,18.9,0.635,16,602.380952380952,"D"
"Cookie Dough Ben & Jerry's 425 G","Milk and dairy products",1130,15,30,25,4,0.17,16,269.047619047619,"D"
"Chocolate Fudge Brownie Ice Cream","Milk and dairy products",1100,13,29,27,4.2,0.18,15,261.904761904762,"D"
"Biscuits à l'avoine et aux canneberges","Sugary snacks",2077,24,63,29,5.6,1.09982,22,494.52380952381,"E"
"Chocolate Chip Cookies","Sugary snacks",2030,24.2,63.6,36.4,6.06,0.000847,20,483.333333333333,"E"
"Java Curry Sace Mix","Fat and sauces",2270,41.7,41.7,12.5,8.33,9.1,23,540.47619047619,"E"
"Ham, Mushroom & Mascarpone - Pasta Melt","Composite foods",690,6.7,17.6,1.9,7.7,0.635,1,164.285714285714,"B"
"Camembert","Milk and dairy products",1490,32.1,0,0,14.3,1.09,13,354.761904761905,"D"
"Panda Brand Oyster Sauce","Fat and sauces",540,0,26.32,23,2.2,11.8,16,128.571428571429,"D"
"Sauce Huã Tre 420 ML LEE KUM KEE PANDA","Fat and sauces",540,0,26.32,23,2.2,11.8,16,128.571428571429,"D"
"Snackbread","Cereals and potatoes",1670,6.67,73.3,6.67,13.3,1.19,0,397.619047619048,"B"
"Extremely Chocolatey Millionaire's Caramel Crispy Mini Bites","Sugary snacks",1963,21.8,61.4,43.7,6,0.43,24,467.380952380952,"E"
